,Unnamed: 0.1,Unnamed: 0,subjects,objects,relationships,dates,titles,weight,Year
409,409,409,whether,U.S. West Coast...,/news/3039/changing-pacific-conditions-raise-sea-level-along-us-west-coast/,"November  9, 2020",U.S. West Coast sea levels are rising faster than the global average. Learn about the various forces that influence regional sea levels to better understand what's happening on this coast and whether it will continue.,7, 2020
410,410,410,climate,A warming clima...,/news/3038/the-anatomy-of-glacial-ice-loss/,"November  5, 2020","A warming climate is taking its toll on Greenland and Antarctica glaciers, melting them from above and below the surface. The more they melt, the higher sea levels rise.",0, 2020
411,411,411,Antarctica,A warming clima...,/news/3038/the-anatomy-of-glacial-ice-loss/,"November  5, 2020","A warming climate is taking its toll on Greenland and Antarctica glaciers, melting them from above and below the surface. The more they melt, the higher sea levels rise.",2, 2020
412,412,412,them,A warming clima...,/news/3038/the-anatomy-of-glacial-ice-loss/,"November  5, 2020","A warming climate is taking its toll on Greenland and Antarctica glaciers, melting them from above and below the surface. The more they melt, the higher sea levels rise.",4, 2020
413,413,413,sea levels,A warming clima...,/news/3038/the-anatomy-of-glacial-ice-loss/,"November  5, 2020","A warming climate is taking its toll on Greenland and Antarctica glaciers, melting them from above and below the surface. The more they melt, the higher sea levels rise.",5, 2020
414,414,414,global sea level,Our global sea ...,/news/3030/rising-waters/,"November  5, 2020","Our global sea level is rising at a faster and faster rate–impacting communities along coastlines worldwide. From space, planes, and ships, @NASA is #SeeingTheSeas while studying the causes and effects of our rising waters.",0, 2020
415,415,415,planet,Season three co...,/news/3036/new-season-of-nasas-on-a-mission-podcast-focuses-on-planet-earth/,"October 29, 2020","Season three covers not just how our planet's volcanoes, earthquakes, oceans, rivers, atmosphere, and climate work, but how they are all interconnected.",0, 2020
416,416,416,oceans,Season three co...,/news/3036/new-season-of-nasas-on-a-mission-podcast-focuses-on-planet-earth/,"October 29, 2020","Season three covers not just how our planet's volcanoes, earthquakes, oceans, rivers, atmosphere, and climate work, but how they are all interconnected.",2, 2020
417,417,417,atmosphere,Season three co...,/news/3036/new-season-of-nasas-on-a-mission-podcast-focuses-on-planet-earth/,"October 29, 2020","Season three covers not just how our planet's volcanoes, earthquakes, oceans, rivers, atmosphere, and climate work, but how they are all interconnected.",4, 2020
418,418,418,climate,Season three co...,/news/3036/new-season-of-nasas-on-a-mission-podcast-focuses-on-planet-earth/,"October 29, 2020","Season three covers not just how our planet's volcanoes, earthquakes, oceans, rivers, atmosphere, and climate work, but how they are all interconnected.",5, 2020
419,419,419,transformation,Details about t...,/news/3035/greenlands-retreating-glaciers-could-impact-local-ecology/,"October 27, 2020","Details about the physical transformation of over 200 of the island’s coastal glaciers are documented in a new study, in which the authors anticipate environmental impacts.",0, 2020
420,420,420,island,Details about t...,/news/3035/greenlands-retreating-glaciers-could-impact-local-ecology/,"October 27, 2020","Details about the physical transformation of over 200 of the island’s coastal glaciers are documented in a new study, in which the authors anticipate environmental impacts.",2, 2020
421,421,421,environmental,Details about t...,/news/3035/greenlands-retreating-glaciers-could-impact-local-ecology/,"October 27, 2020","Details about the physical transformation of over 200 of the island’s coastal glaciers are documented in a new study, in which the authors anticipate environmental impacts.",3, 2020
422,422,422,pollution,A first-ever pa...,/news/3027/getting-to-the-heart-of-the-particulate-matter/,"October 21, 2020","A first-ever partnership between NASA, epidemiologists and health organizations will use data from a new NASA space mission to study how particulate matter air pollution affects our health.",0, 2020
423,423,423,location,Scientists demo...,/news/3034/nasa-supercomputing-study-breaks-ground-for-tree-mapping-carbon-research/,"October 20, 2020","Scientists demonstrated a new method for mapping the location and size of trees growing outside of forests, discovering billions of trees in arid and semi-arid regions and laying the groundwork for more accurate global measurement of carbon storage on land.",0, 2020
424,424,424,outside,Scientists demo...,/news/3034/nasa-supercomputing-study-breaks-ground-for-tree-mapping-carbon-research/,"October 20, 2020","Scientists demonstrated a new method for mapping the location and size of trees growing outside of forests, discovering billions of trees in arid and semi-arid regions and laying the groundwork for more accurate global measurement of carbon storage on land.",2, 2020
425,425,425,forests,Scientists demo...,/news/3034/nasa-supercomputing-study-breaks-ground-for-tree-mapping-carbon-research/,"October 20, 2020","Scientists demonstrated a new method for mapping the location and size of trees growing outside of forests, discovering billions of trees in arid and semi-arid regions and laying the groundwork for more accurate global measurement of carbon storage on land.",4, 2020
426,426,426,global measurement,Scientists demo...,/news/3034/nasa-supercomputing-study-breaks-ground-for-tree-mapping-carbon-research/,"October 20, 2020","Scientists demonstrated a new method for mapping the location and size of trees growing outside of forests, discovering billions of trees in arid and semi-arid regions and laying the groundwork for more accurate global measurement of carbon storage on land.",6, 2020
427,427,427,carbon storage,Scientists demo...,/news/3034/nasa-supercomputing-study-breaks-ground-for-tree-mapping-carbon-research/,"October 20, 2020","Scientists demonstrated a new method for mapping the location and size of trees growing outside of forests, discovering billions of trees in arid and semi-arid regions and laying the groundwork for more accurate global measurement of carbon storage on land.",7, 2020
428,428,428,Freilich,The Sentinel-6 ...,/news/3033/us-european-sea-level-satellite-gears-up-for-launch/,"October 16, 2020",The Sentinel-6 Michael Freilich spacecraft will soon be heading into orbit to monitor the height of the ocean for nearly the entire globe.,0, 2020
429,429,429,orbit,The Sentinel-6 ...,/news/3033/us-european-sea-level-satellite-gears-up-for-launch/,"October 16, 2020",The Sentinel-6 Michael Freilich spacecraft will soon be heading into orbit to monitor the height of the ocean for nearly the entire globe.,2, 2020
430,430,430,ocean,The Sentinel-6 ...,/news/3033/us-european-sea-level-satellite-gears-up-for-launch/,"October 16, 2020",The Sentinel-6 Michael Freilich spacecraft will soon be heading into orbit to monitor the height of the ocean for nearly the entire globe.,3, 2020
431,431,431,ocean,New study resul...,/news/3032/prior-weather-linked-to-rapid-intensification-of-hurricanes-near-landfall/,"October 15, 2020",New study results show that ocean heat waves can provide enough fuel for hurricanes to gain momentum as they approach land.,0, 2020
432,432,432,sea level,The U.S.-Europe...,/news/3031/watch-virtual-briefing-on-launch-of-sentinel-6-michael-freilich-satellite/,"October 12, 2020",The U.S.-European partnership will track sea level height. Learn more about the mission in this live event.,0, 2020
433,433,433,satellite,Launching soon ...,/news/3029/meet-the-people-behind-the-sentinel-6-michael-freilich-spacecraft/,"October  7, 2020","Launching soon from the California coast, the satellite will track sea levels worldwide. A new video series introduces some of the NASA Jet Propulsion Laboratory scientists and engineers involved in the mission.",0, 2020
434,434,434,sea levels,Launching soon ...,/news/3029/meet-the-people-behind-the-sentinel-6-michael-freilich-spacecraft/,"October  7, 2020","Launching soon from the California coast, the satellite will track sea levels worldwide. A new video series introduces some of the NASA Jet Propulsion Laboratory scientists and engineers involved in the mission.",1, 2020
435,435,435,Earth,Set for launch ...,/news/3028/5-things-to-know-about-the-sentinel-6-michael-freilich-satellite/,"October  2, 2020","Set for launch in November, the Earth-observing satellite will closely monitor sea level and provide atmospheric data to support weather forecasting and climate models.",0, 2020
436,436,436,satellite,Set for launch ...,/news/3028/5-things-to-know-about-the-sentinel-6-michael-freilich-satellite/,"October  2, 2020","Set for launch in November, the Earth-observing satellite will closely monitor sea level and provide atmospheric data to support weather forecasting and climate models.",2, 2020
437,437,437,sea level,Set for launch ...,/news/3028/5-things-to-know-about-the-sentinel-6-michael-freilich-satellite/,"October  2, 2020","Set for launch in November, the Earth-observing satellite will closely monitor sea level and provide atmospheric data to support weather forecasting and climate models.",4, 2020
438,438,438,weather,Set for launch ...,/news/3028/5-things-to-know-about-the-sentinel-6-michael-freilich-satellite/,"October  2, 2020","Set for launch in November, the Earth-observing satellite will closely monitor sea level and provide atmospheric data to support weather forecasting and climate models.",6, 2020
439,439,439,climate,Set for launch ...,/news/3028/5-things-to-know-about-the-sentinel-6-michael-freilich-satellite/,"October  2, 2020","Set for launch in November, the Earth-observing satellite will closely monitor sea level and provide atmospheric data to support weather forecasting and climate models.",7, 2020
440,440,440,Freilich,The Sentinel-6 ...,/news/3026/new-sea-level-satellite-arrives-at-california-launch-site/,"September 28, 2020",The Sentinel-6 Michael Freilich spacecraft will launch from the U.S. West Coast aboard a SpaceX Falcon 9 rocket in November.,0, 2020
441,441,441,U.S.,The Sentinel-6 ...,/news/3026/new-sea-level-satellite-arrives-at-california-launch-site/,"September 28, 2020",The Sentinel-6 Michael Freilich spacecraft will launch from the U.S. West Coast aboard a SpaceX Falcon 9 rocket in November.,1, 2020
442,442,442,Arctic,As Arctic summe...,/news/3025/warming-temperatures-are-driving-arctic-greening/,"September 28, 2020","As Arctic summers warm, northern landscapes change. A new study finds as the region has experienced warmer air and soil temperatures, the tundra has become greener. This affects local people and wildlife and may thaw permafrost, releasing greenhouse gases.",0, 2020
443,443,443,Sahara,Researchers wil...,/news/3024/us-qatar-partnership-aims-to-find-buried-water-in-earths-deserts/,"September 23, 2020",Researchers will design a mission to learn about underground aquifers in areas such as the Sahara and how climate change will affect them in the future.,0, 2020
444,444,444,climate,Researchers wil...,/news/3024/us-qatar-partnership-aims-to-find-buried-water-in-earths-deserts/,"September 23, 2020",Researchers will design a mission to learn about underground aquifers in areas such as the Sahara and how climate change will affect them in the future.,2, 2020
445,445,445,them,Researchers wil...,/news/3024/us-qatar-partnership-aims-to-find-buried-water-in-earths-deserts/,"September 23, 2020",Researchers will design a mission to learn about underground aquifers in areas such as the Sahara and how climate change will affect them in the future.,3, 2020
446,446,446,Arctic,This year’s Arc...,/news/3023/2020-arctic-sea-ice-minimum-at-second-lowest-on-record/,"September 21, 2020","This year’s Arctic sea ice cover shrank to the second lowest extent since modern record-keeping began in the late 1970s, at 1.44 million square miles (3.74 million square kilometers).",0, 2020
447,447,447,sea ice,This year’s Arc...,/news/3023/2020-arctic-sea-ice-minimum-at-second-lowest-on-record/,"September 21, 2020","This year’s Arctic sea ice cover shrank to the second lowest extent since modern record-keeping began in the late 1970s, at 1.44 million square miles (3.74 million square kilometers).",1, 2020
448,448,448,Earth,An internationa...,/news/3021/emissions-could-add-15-inches-to-sea-level-by-2100-nasa-led-study-finds/,"September 17, 2020",An international effort has generated new estimates of the impact Earth’s melting ice sheets could have on global sea levels by 2100.,0, 2020
449,449,449,ice,An internationa...,/news/3021/emissions-could-add-15-inches-to-sea-level-by-2100-nasa-led-study-finds/,"September 17, 2020",An international effort has generated new estimates of the impact Earth’s melting ice sheets could have on global sea levels by 2100.,2, 2020
450,450,450,global sea levels,An internationa...,/news/3021/emissions-could-add-15-inches-to-sea-level-by-2100-nasa-led-study-finds/,"September 17, 2020",An international effort has generated new estimates of the impact Earth’s melting ice sheets could have on global sea levels by 2100.,3, 2020
451,451,451,Earth,The observation...,/news/3019/nasa-monitors-carbon-monoxide-from-california-wildfires/,"September 14, 2020",The observations from Earth orbit show high-altitude concentrations of the gas that are more than 10 times typical amounts.,0, 2020
452,452,452,ECOSTRESS,NASA’s ECOSTRES...,/news/3018/nasas-ecostress-takes-surface-temperature-around-california-fires/,"September  9, 2020","NASA’s ECOSTRESS instrument recently imaged active fires across California, showing multiple areas hotter than 375 degrees Fahrenheit (191 degrees Celsius).",0, 2020
453,453,453,fires,NASA’s ECOSTRES...,/news/3018/nasas-ecostress-takes-surface-temperature-around-california-fires/,"September  9, 2020","NASA’s ECOSTRESS instrument recently imaged active fires across California, showing multiple areas hotter than 375 degrees Fahrenheit (191 degrees Celsius).",1, 2020
454,454,454,Earth,To get the best...,/news/3016/sea-level-mission-will-also-act-as-a-precision-thermometer-in-space/,"September  4, 2020","To get the best measurements of Earth's atmosphere, you sometimes have to leave it. This November, the Sentinel-6 Michael Freilich spacecraft will do just that.",0, 2020
455,455,455,atmosphere,To get the best...,/news/3016/sea-level-mission-will-also-act-as-a-precision-thermometer-in-space/,"September  4, 2020","To get the best measurements of Earth's atmosphere, you sometimes have to leave it. This November, the Sentinel-6 Michael Freilich spacecraft will do just that.",2, 2020
456,456,456,Freilich,To get the best...,/news/3016/sea-level-mission-will-also-act-as-a-precision-thermometer-in-space/,"September  4, 2020","To get the best measurements of Earth's atmosphere, you sometimes have to leave it. This November, the Sentinel-6 Michael Freilich spacecraft will do just that.",3, 2020
457,457,457,environment,Researchers wer...,/news/3015/nasa-funds-eight-new-projects-exploring-connections-between-the-environment-and-covid-19/,"September  3, 2020",Researchers were recently awarded rapid-turnaround project grants to explore how COVID-19 stay-at-home measures are affecting the environment and how the environment is affecting the virus's spread.,0, 2020
458,458,458,environment,Researchers wer...,/news/3015/nasa-funds-eight-new-projects-exploring-connections-between-the-environment-and-covid-19/,"September  3, 2020",Researchers were recently awarded rapid-turnaround project grants to explore how COVID-19 stay-at-home measures are affecting the environment and how the environment is affecting the virus's spread.,1, 2020
459,459,459,climate,In the largest-...,/news/3014/global-survey-using-nasa-data-shows-dramatic-growth-of-glacial-lakes/,"August 31, 2020","In the largest-ever study of glacial lakes, researchers have found that the volume of these lakes worldwide has increased by about 50% since 1990 as glaciers melt and retreat due to climate change.",0, 2020
460,460,460,environmental,To aid policyma...,/news/3013/pinpointing-tropical-forests-with-high-ecological-quality/,"August 25, 2020","To aid policymakers in environmental decision-making, new high-resolution maps show forest location and ecological ""quality,"" taking into account information like tree height and forest canopy thickness.",0, 2020
461,461,461,forest,To aid policyma...,/news/3013/pinpointing-tropical-forests-with-high-ecological-quality/,"August 25, 2020","To aid policymakers in environmental decision-making, new high-resolution maps show forest location and ecological ""quality,"" taking into account information like tree height and forest canopy thickness.",2, 2020
462,462,462,ecological,To aid policyma...,/news/3013/pinpointing-tropical-forests-with-high-ecological-quality/,"August 25, 2020","To aid policymakers in environmental decision-making, new high-resolution maps show forest location and ecological ""quality,"" taking into account information like tree height and forest canopy thickness.",4, 2020
463,463,463,forest,To aid policyma...,/news/3013/pinpointing-tropical-forests-with-high-ecological-quality/,"August 25, 2020","To aid policymakers in environmental decision-making, new high-resolution maps show forest location and ecological ""quality,"" taking into account information like tree height and forest canopy thickness.",5, 2020
464,464,464,ocean,Scientists have...,/news/3012/nasa-led-study-reveals-the-causes-of-sea-level-rise-since-1900/,"August 21, 2020","Scientists have gained new insights into the processes that have driven ocean level variations for over a century, helping us prepare for the rising seas of the future.",0, 2020
465,465,465,ice,After a brief p...,/news/3010/study-2019-sees-record-loss-of-greenland-ice/,"August 20, 2020","After a brief period of moderate ice loss, the Greenland ice sheet melted in 2019 at the fastest rate ever measured.",0, 2020
466,466,466,ice,After a brief p...,/news/3010/study-2019-sees-record-loss-of-greenland-ice/,"August 20, 2020","After a brief period of moderate ice loss, the Greenland ice sheet melted in 2019 at the fastest rate ever measured.",1, 2020
467,467,467,habitat,Researchers hav...,/news/3009/nasa-study-maps-the-roots-of-global-mangrove-loss/,"August 18, 2020",Researchers have created the first map of the causes of global mangrove habitat change between 2000 and 2016—a valuable tool to aid conservation efforts for these vital coastline defenders.,0, 2020
468,468,468,conservation,Researchers hav...,/news/3009/nasa-study-maps-the-roots-of-global-mangrove-loss/,"August 18, 2020",Researchers have created the first map of the causes of global mangrove habitat change between 2000 and 2016—a valuable tool to aid conservation efforts for these vital coastline defenders.,2, 2020
469,469,469,vital,Researchers hav...,/news/3009/nasa-study-maps-the-roots-of-global-mangrove-loss/,"August 18, 2020",Researchers have created the first map of the causes of global mangrove habitat change between 2000 and 2016—a valuable tool to aid conservation efforts for these vital coastline defenders.,3, 2020
470,470,470,Glaciers,Glaciers in the...,/news/3008/stunning-forecast-a-century-of-ice-loss-for-nearly-100000-glaciers/,"August  4, 2020","Glaciers in the High Mountain Asia region could lose substantial amounts of ice over the coming decades, a new modeling study shows.",0, 2020
471,471,471,ice,Glaciers in the...,/news/3008/stunning-forecast-a-century-of-ice-loss-for-nearly-100000-glaciers/,"August  4, 2020","Glaciers in the High Mountain Asia region could lose substantial amounts of ice over the coming decades, a new modeling study shows.",1, 2020
472,472,472,temperatures,"This summer, Si...",/news/3006/nasa-noaa-satellite-sees-siberian-smoke-reach-alaska/,"July 30, 2020","This summer, Siberia has seen potentially record-breaking temperatures as high as 100.4 degrees Fahrenheit (20 degrees Celsius) as well as wildfires burning on a massive scale across the countryside.",0, 2020
473,473,473,wildfires,"This summer, Si...",/news/3006/nasa-noaa-satellite-sees-siberian-smoke-reach-alaska/,"July 30, 2020","This summer, Siberia has seen potentially record-breaking temperatures as high as 100.4 degrees Fahrenheit (20 degrees Celsius) as well as wildfires burning on a massive scale across the countryside.",1, 2020
474,474,474,projects,The new project...,/news/3005/new-nasa-research-projects-probe-covid-19-impacts/,"July 27, 2020",The new projects look at food- and water-supply stability and how changes in human activity are affecting the environment.,0, 2020
475,475,475,water,The new project...,/news/3005/new-nasa-research-projects-probe-covid-19-impacts/,"July 27, 2020",The new projects look at food- and water-supply stability and how changes in human activity are affecting the environment.,2, 2020
476,476,476,environment,The new project...,/news/3005/new-nasa-research-projects-probe-covid-19-impacts/,"July 27, 2020",The new projects look at food- and water-supply stability and how changes in human activity are affecting the environment.,3, 2020
477,477,477,ocean,Scheduled to la...,/news/3004/a-walk-through-the-rainbow-with-pace/,"July 20, 2020","Scheduled to launch in 2023, NASA’s upcoming Plankton, Aerosol, Cloud, ocean Ecosystem, or PACE, mission will measure ocean color to extend data records on ocean ecology and related climate studies. Here is what the mission will observe at every wavelength.",0, 2020
478,478,478,Ecosystem,Scheduled to la...,/news/3004/a-walk-through-the-rainbow-with-pace/,"July 20, 2020","Scheduled to launch in 2023, NASA’s upcoming Plankton, Aerosol, Cloud, ocean Ecosystem, or PACE, mission will measure ocean color to extend data records on ocean ecology and related climate studies. Here is what the mission will observe at every wavelength.",2, 2020
479,479,479,ocean,Scheduled to la...,/news/3004/a-walk-through-the-rainbow-with-pace/,"July 20, 2020","Scheduled to launch in 2023, NASA’s upcoming Plankton, Aerosol, Cloud, ocean Ecosystem, or PACE, mission will measure ocean color to extend data records on ocean ecology and related climate studies. Here is what the mission will observe at every wavelength.",4, 2020
480,480,480,ocean,Scheduled to la...,/news/3004/a-walk-through-the-rainbow-with-pace/,"July 20, 2020","Scheduled to launch in 2023, NASA’s upcoming Plankton, Aerosol, Cloud, ocean Ecosystem, or PACE, mission will measure ocean color to extend data records on ocean ecology and related climate studies. Here is what the mission will observe at every wavelength.",6, 2020
481,481,481,climate,Scheduled to la...,/news/3004/a-walk-through-the-rainbow-with-pace/,"July 20, 2020","Scheduled to launch in 2023, NASA’s upcoming Plankton, Aerosol, Cloud, ocean Ecosystem, or PACE, mission will measure ocean color to extend data records on ocean ecology and related climate studies. Here is what the mission will observe at every wavelength.",7, 2020
482,482,482,aerosols,A space-based l...,/news/3003/nasa-cnes-space-laser-measures-massive-saharan-dust-plume/,"July 20, 2020",A space-based laser that measures clouds and small atmospheric particles called aerosols has provided a unique view of the massive Saharan dust plume that crossed the North Atlantic Ocean in June.,0, 2020
483,483,483,Atlantic,A space-based l...,/news/3003/nasa-cnes-space-laser-measures-massive-saharan-dust-plume/,"July 20, 2020",A space-based laser that measures clouds and small atmospheric particles called aerosols has provided a unique view of the massive Saharan dust plume that crossed the North Atlantic Ocean in June.,2, 2020
484,484,484,Ocean,A space-based l...,/news/3003/nasa-cnes-space-laser-measures-massive-saharan-dust-plume/,"July 20, 2020",A space-based laser that measures clouds and small atmospheric particles called aerosols has provided a unique view of the massive Saharan dust plume that crossed the North Atlantic Ocean in June.,3, 2020
485,485,485,/,The Sentinel-6/...,/news/3001/keeping-a-steady-eye-on-sea-level-change-from-space/,"July  7, 2020",The Sentinel-6/Jason-CS satellite mission will add to a long-term sea level dataset that's become the gold standard for climate studies from orbit.,0, 2020
486,486,486,satellite,The Sentinel-6/...,/news/3001/keeping-a-steady-eye-on-sea-level-change-from-space/,"July  7, 2020",The Sentinel-6/Jason-CS satellite mission will add to a long-term sea level dataset that's become the gold standard for climate studies from orbit.,2, 2020
487,487,487,sea level,The Sentinel-6/...,/news/3001/keeping-a-steady-eye-on-sea-level-change-from-space/,"July  7, 2020",The Sentinel-6/Jason-CS satellite mission will add to a long-term sea level dataset that's become the gold standard for climate studies from orbit.,4, 2020
488,488,488,climate,The Sentinel-6/...,/news/3001/keeping-a-steady-eye-on-sea-level-change-from-space/,"July  7, 2020",The Sentinel-6/Jason-CS satellite mission will add to a long-term sea level dataset that's become the gold standard for climate studies from orbit.,6, 2020
489,489,489,orbit,The Sentinel-6/...,/news/3001/keeping-a-steady-eye-on-sea-level-change-from-space/,"July  7, 2020",The Sentinel-6/Jason-CS satellite mission will add to a long-term sea level dataset that's become the gold standard for climate studies from orbit.,7, 2020
490,490,490,weather,Aerosol particl...,/news/2999/nasa-noaa-satellite-analyzes-saharan-dust-plume/,"June 26, 2020","Aerosol particles (such as dust) have an effect on human health, weather and climate. A NASA satellite has shown the massive dust plume traveling across the Atlantic Ocean from Africa's Saharan Desert.",0, 2020
491,491,491,climate,Aerosol particl...,/news/2999/nasa-noaa-satellite-analyzes-saharan-dust-plume/,"June 26, 2020","Aerosol particles (such as dust) have an effect on human health, weather and climate. A NASA satellite has shown the massive dust plume traveling across the Atlantic Ocean from Africa's Saharan Desert.",2, 2020
492,492,492,satellite,Aerosol particl...,/news/2999/nasa-noaa-satellite-analyzes-saharan-dust-plume/,"June 26, 2020","Aerosol particles (such as dust) have an effect on human health, weather and climate. A NASA satellite has shown the massive dust plume traveling across the Atlantic Ocean from Africa's Saharan Desert.",4, 2020
493,493,493,Atlantic,Aerosol particl...,/news/2999/nasa-noaa-satellite-analyzes-saharan-dust-plume/,"June 26, 2020","Aerosol particles (such as dust) have an effect on human health, weather and climate. A NASA satellite has shown the massive dust plume traveling across the Atlantic Ocean from Africa's Saharan Desert.",6, 2020
494,494,494,Ocean,Aerosol particl...,/news/2999/nasa-noaa-satellite-analyzes-saharan-dust-plume/,"June 26, 2020","Aerosol particles (such as dust) have an effect on human health, weather and climate. A NASA satellite has shown the massive dust plume traveling across the Atlantic Ocean from Africa's Saharan Desert.",7, 2020
495,495,495,global,In response to ...,/news/2998/nasa-partner-space-agencies-amass-global-view-of-covid-19-impacts/,"June 25, 2020","In response to the global coronavirus (COVID-19) pandemic, NASA, ESA (European Space Agency), and JAXA (Japan Aerospace Exploration Agency) have joined forces to document planet-wide changes in the environment and society. The information now is available at the touch of a finger.",0, 2020
496,496,496,Aerospace,In response to ...,/news/2998/nasa-partner-space-agencies-amass-global-view-of-covid-19-impacts/,"June 25, 2020","In response to the global coronavirus (COVID-19) pandemic, NASA, ESA (European Space Agency), and JAXA (Japan Aerospace Exploration Agency) have joined forces to document planet-wide changes in the environment and society. The information now is available at the touch of a finger.",2, 2020
497,497,497,planet,In response to ...,/news/2998/nasa-partner-space-agencies-amass-global-view-of-covid-19-impacts/,"June 25, 2020","In response to the global coronavirus (COVID-19) pandemic, NASA, ESA (European Space Agency), and JAXA (Japan Aerospace Exploration Agency) have joined forces to document planet-wide changes in the environment and society. The information now is available at the touch of a finger.",4, 2020
498,498,498,environment,In response to ...,/news/2998/nasa-partner-space-agencies-amass-global-view-of-covid-19-impacts/,"June 25, 2020","In response to the global coronavirus (COVID-19) pandemic, NASA, ESA (European Space Agency), and JAXA (Japan Aerospace Exploration Agency) have joined forces to document planet-wide changes in the environment and society. The information now is available at the touch of a finger.",5, 2020
499,499,499,Aerospace,"NASA, ESA (Euro...",/news/2996/nasa-partner-space-agencies-to-release-global-view-of-covid-19-impacts/,"June 18, 2020","NASA, ESA (European Space Agency) and JAXA (Japan Aerospace Exploration Agency) will unveil a dashboard of satellite data showing impacts on the environment and socioeconomic activity caused by the global response to the coronavirus (COVID-19) pandemic during a media teleconference at 9 a.m. EDT Thursday, June 25.",0, 2020
500,500,500,satellite,"NASA, ESA (Euro...",/news/2996/nasa-partner-space-agencies-to-release-global-view-of-covid-19-impacts/,"June 18, 2020","NASA, ESA (European Space Agency) and JAXA (Japan Aerospace Exploration Agency) will unveil a dashboard of satellite data showing impacts on the environment and socioeconomic activity caused by the global response to the coronavirus (COVID-19) pandemic during a media teleconference at 9 a.m. EDT Thursday, June 25.",2, 2020
501,501,501,environment,"NASA, ESA (Euro...",/news/2996/nasa-partner-space-agencies-to-release-global-view-of-covid-19-impacts/,"June 18, 2020","NASA, ESA (European Space Agency) and JAXA (Japan Aerospace Exploration Agency) will unveil a dashboard of satellite data showing impacts on the environment and socioeconomic activity caused by the global response to the coronavirus (COVID-19) pandemic during a media teleconference at 9 a.m. EDT Thursday, June 25.",4, 2020
502,502,502,global response,"NASA, ESA (Euro...",/news/2996/nasa-partner-space-agencies-to-release-global-view-of-covid-19-impacts/,"June 18, 2020","NASA, ESA (European Space Agency) and JAXA (Japan Aerospace Exploration Agency) will unveil a dashboard of satellite data showing impacts on the environment and socioeconomic activity caused by the global response to the coronavirus (COVID-19) pandemic during a media teleconference at 9 a.m. EDT Thursday, June 25.",6, 2020
503,503,503,EDT,"NASA, ESA (Euro...",/news/2996/nasa-partner-space-agencies-to-release-global-view-of-covid-19-impacts/,"June 18, 2020","NASA, ESA (European Space Agency) and JAXA (Japan Aerospace Exploration Agency) will unveil a dashboard of satellite data showing impacts on the environment and socioeconomic activity caused by the global response to the coronavirus (COVID-19) pandemic during a media teleconference at 9 a.m. EDT Thursday, June 25.",7, 2020
504,504,504,U.S.,A team of engin...,/news/2993/new-international-sea-level-satellite-completes-testing/,"June 11, 2020",A team of engineers in the U.S. and Europe subjected the Sentinel-6 Michael Freilich spacecraft to a battery of trials to ready it for liftoff later this year.,0, 2020
505,505,505,Europe,A team of engin...,/news/2993/new-international-sea-level-satellite-completes-testing/,"June 11, 2020",A team of engineers in the U.S. and Europe subjected the Sentinel-6 Michael Freilich spacecraft to a battery of trials to ready it for liftoff later this year.,2, 2020
506,506,506,Freilich,A team of engin...,/news/2993/new-international-sea-level-satellite-completes-testing/,"June 11, 2020",A team of engineers in the U.S. and Europe subjected the Sentinel-6 Michael Freilich spacecraft to a battery of trials to ready it for liftoff later this year.,3, 2020
507,507,507,ocean,NASA’s Plankton...,/news/2992/nasa-ocean-ecosystem-mission-preparing-to-make-waves/,"June  9, 2020","NASA’s Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) mission has successfully passed its design reviews and moved into its construction and testing phase, preparing to advance the fields of global ocean and atmospheric science when it launches in 2023.",0, 2020
508,508,508,Ecosystem,NASA’s Plankton...,/news/2992/nasa-ocean-ecosystem-mission-preparing-to-make-waves/,"June  9, 2020","NASA’s Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) mission has successfully passed its design reviews and moved into its construction and testing phase, preparing to advance the fields of global ocean and atmospheric science when it launches in 2023.",2, 2020
509,509,509,ocean,NASA’s Plankton...,/news/2992/nasa-ocean-ecosystem-mission-preparing-to-make-waves/,"June  9, 2020","NASA’s Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) mission has successfully passed its design reviews and moved into its construction and testing phase, preparing to advance the fields of global ocean and atmospheric science when it launches in 2023.",3, 2020
510,510,510,projects,NASA has funded...,/news/2991/nasa-fosters-innovative-ways-to-understand-biodiversity/,"June  3, 2020","NASA has funded four projects to create virtual portals with biodiversity information for scientists, land managers and decision makers regarding the status of terrestrial ecosystems in a warming world.",0, 2020
511,511,511,biodiversity,NASA has funded...,/news/2991/nasa-fosters-innovative-ways-to-understand-biodiversity/,"June  3, 2020","NASA has funded four projects to create virtual portals with biodiversity information for scientists, land managers and decision makers regarding the status of terrestrial ecosystems in a warming world.",2, 2020
512,512,512,ecosystems,NASA has funded...,/news/2991/nasa-fosters-innovative-ways-to-understand-biodiversity/,"June  3, 2020","NASA has funded four projects to create virtual portals with biodiversity information for scientists, land managers and decision makers regarding the status of terrestrial ecosystems in a warming world.",3, 2020
513,513,513,ice,Continuous moni...,/news/2989/ice-melt-linked-to-accelerated-regional-freshwater-depletion/,"June  1, 2020",Continuous monitoring of glaciers and ice caps has provided unprecedented insights into global ice loss that could have serious socioeconomic impacts on some regions.,0, 2020
